Column1,Column2
progressive-house,Drama
opera,Musical
metal,Adventure
heavy-metal,Thriller
detroit-techno,Sci-Fi
turkish,Drama
swedish,Animation
iranian,Family
j-dance,Sci-Fi
bluegrass,Sport
dub,Crime
new-age,Sci-Fi
latino,Romance
rock,Action
deep-house,Thriller
hard-rock,Adventure
reggae,History
r-n-b,Thriller
malay,History
trip-hop,Mystery
german,History
indie,Noir
mandopop,Romance
country,Western
forro,Comedy
gospel,Family
punk,Crime
british,Mystery
industrial,Biography
indie-pop,Action
breakbeat,Action
j-rock,Animation
dubstep,Sci-Fi
hardcore,Action
hip-hop,Action
sleep,Biography
power-pop,Action
electronic,Action
garage,Musical
rockabilly,Western
anime,Drama
hardstyle,Crime
dance,Musical
trance,Sci-Fi
comedy,Comedy
world-music,Biography
grindcore,Horror
mpb,Drama
party,Action
minimal-techno,Sci-Fi
goth,Horror
death-metal,Horror
groove,Musical
club,Action
jazz,Romance
show-tunes,Musical
songwriter,Romance
guitar,Musical
alternative,Western
dancehall,Musical
french,Romance
pop-film,Fantasy
house,Comedy
metalcore,Action
kids,Family
salsa,Romance
drum-and-bass,Action
grunge,Action
chicago-house,Thriller
edm,Action
singer-songwriter,Musical
piano,Romance
j-idol,Drama
brazil,Biography
happy,Comedy
afrobeat,Crime
sertanejo,Drama
pagode,Comedy
pop,Adventure
sad,Drama
ambient,Sci-Fi
children,Family
alt-rock,Thriller
idm,Animation
rock-n-roll,Thriller
k-pop,Family
blues,Western
honky-tonk,Western
classical,Noir
disco,Comedy
study,Noir
electro,Sci-Fi
cantopop,Romance
emo,Thriller
folk,Family
synth-pop,Sci-Fi
punk-rock,Crime
romance,Romance
ska,Comedy
reggaeton,Comedy
indian,Romance
samba,Musical
soul,Drama
j-pop,Animation
spanish,Romance
tango,Romance
acoustic,Romance
disney,Kids
chill,Fantasy
psych-rock,Fantasy
techno,Sci-Fi
black-metal,Crime
latin,Adventure
funk,Sci-Fi
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
